,main_pat_id,gender,first_name,last_name,middle_name,dob,marital_status,ethnicity,nhs_no,gp_title,gp_forename,gp_surname,gp_addr1,gp_addr2,gp_addr3,gp_addr4,gp_postcode,gp_workphone,pat_addr1,pat_addr2,pat_addr3,postcode,homephone,hospital_no,death_indicator,gp_local_code,gp_doh_code,gp_practicecode,date_of_death
30,P1000030,F,LOUISE,WILLIAMS,ELAINE,1952-02-17,M,A,498 099 5551,DR.,GERALDINE,DEAN,20 HOLT RIDGE,FLAT 7,LEAHFORT,,W1B 5FP,+44117 496 0433,37 SHANNON COVE,FLAT 9,BRUCETOWN,BL03,+44(0)1914960682,S2025487,0,Q85,G7230403,C82387,
31,P1000031,F,KELLY,O'BRIEN,GILLIAN,1970-02-05,M,B,796 734 3883,DR.,JILL,PORTER,56 KATIE CORNERS,STUDIO 84O,ELAINEBURGH,,RM93 0EA,+441514960009,47 BRANDON PASS,FLAT 15B,WEST MARCUSSTAD,S51,+4429 2018 0259,S2990524,0,Q04,G6780068,C82568,
32,P1000032,F,ELAINE,PRESTON,SALLY,1971-12-14,M,A,736 145 8513,DR.,LINDSEY,COX,"STUDIO 36M
JOHNSON GATEWAY",FLAT 7,MATTHEWSHAVEN,,DT3 1DW,+44(0)1632 960670,0 JOYCE STREAM,STUDIO 01,PORT ADAMFORT,N06,0141 496 0739,S2896851,0,Q36,G9432452,C82900,
33,P1000033,F,LAURA,PARSONS,DEBRA,1969-05-02,M,A,238 420 8977,DR.,DIANE,HUTCHINSON,"FLAT 74P
ELLIOTT TURNPIKE",STUDIO 75,LAKE TONY,,FY9R 7XA,+44306 9990086,436 GRACE LOCK,STUDIO 85,EAST CAROLEPORT,IM4,(0114) 496 0946,S9330488,0,Q64,G0272114,C82832,
34,P1000034,F,TRACEY,WILLIAMS,TERESA,1967-01-10,S,C2,530 687 7257,DR.,MARY,PRICE,53 DEBORAH LODGE,STUDIO 22W,ANNETTEMOUTH,,L9 1HH,+448081570051,9 WHITTAKER WAY,FLAT 2,WEST DONNA,G9D,(0131) 4960417,S4821947,0,Q59,G5470972,C82890,
35,P1000035,M,RYAN,HALL,DUNCAN,1988-01-06,S,A,694 168 7460,DR.,MOHAMED,STEPHENS,"FLAT 29
TURNER GROVES",STUDIO 0,WHITELAND,,TN75 1GZ,+44(0)1184960584,"FLAT 82
PATRICIA WALK",STUDIO 2,NEW HANNAHVILLE,W4T,+44141 496 0225,S4658926,0,Q54,G8205609,C82712,
36,P1000036,F,SHANNON,HAMILTON,PAIGE,1989-03-23,M,B,911 205 1225,DR.,JEAN,WILLIAMS,0 BEN BROOKS,STUDIO 54X,SOUTH ROBERT,,M69 5PB,(020) 74960615,584 AHMED SPRING,STUDIO 09V,SOUTH THOMASPORT,PA48,0113 4960631,S2957342,0,Q68,G6397526,C82879,
37,P1000037,F,JODIE,COOPER,ANN,1974-07-17,S,C2,654 003 8976,DR.,ASHLEIGH,ADAMS,450 CHELSEA VIADUCT,STUDIO 9,JOHNSONLAND,,OX6P 8TS,+44(0)28 9018 0138,"STUDIO 53
WELCH WALKS",STUDIO 8,SOUTH CONOR,B7F,+44(0)1414960264,C9837911,0,Q12,G8263637,C82377,
38,P1000038,M,DENIS,THOMPSON,GREGORY,1982-09-16,S,C2,289 657 0063,DR.,RYAN,PORTER,10 PERKINS INLET,STUDIO 47,SOUTH PAMELA,,L3D 1DL,(0118) 4960884,877 WHITE CROSSING,STUDIO 95C,WEST PHILLIPSHIRE,B7J,0115 4960285,M6114026,0,Q86,G7135170,C82060,
39,P1000039,M,MARK,HOWELLS,TREVOR,1966-07-26,M,C1,710 915 8624,DR.,MAURICE,HEWITT,475 TERRY SPRING,STUDIO 76D,NEW GREGORY,,M8T 7ND,0909 8790511,9 CHRISTOPHER MILL,FLAT 25N,BRYANSIDE,B4,+441632 960 429,C5592949,0,Q41,G7335514,C82554,
40,P1000040,F,JESSICA,SMITH,CHARLOTTE,1974-06-08,S,A,624 599 7348,DR.,CARLY,BRADLEY,"STUDIO 34
NICOLE LODGE",FLAT 9,TAYLORBOROUGH,,E9 2JS,+443069990513,0 SHANNON UNDERPASS,FLAT 2,DECLANSTAD,TD0Y,+448081570687,S3242796,0,Q07,G1479263,C82704,
41,P1000041,F,JASMINE,BROOKS,VICTORIA,1981-04-08,C,C1,234 613 0028,DR.,AIMEE,HAWKINS,6 MOLLY CAMP,FLAT 69J,LAKE KATIE,,N11 0WA,+44(0)1164960350,"FLAT 98
BAKER STATION",STUDIO 23,NORTH JORDANTON,IP15,+448081570524,S4817958,0,Q01,G5797410,C82879,
42,P1000042,F,ANN,BOND,LISA,1969-05-08,M,A,336 857 8472,DR.,FIONA,SMITH,"STUDIO 59
SAM TERRACE",FLAT 36,KATESIDE,,FY3N 3SJ,0808 1570414,0 DUNN RUN,FLAT 86Y,WHITEHEADMOUTH,LU2P,(0151)4960434,M3790927,0,Q07,G0719136,C82187,
43,P1000043,F,GEMMA,WALKER,GRACE,1970-09-15,S,C1,607 441 3029,DR.,KATE,BURTON,19 LONG ISLAND,STUDIO 8,NORTH BRYAN,,LE2V 9XG,(0191)4960412,"FLAT 50C
ROWE VIADUCT",STUDIO 5,PORT ASHLEIGHPORT,G7,(0117) 496 0381,S4410764,0,Q85,G4986647,C82604,
44,P1000044,F,AMANDA,EDWARDS,GRACE,1967-11-19,C,B,386 799 3777,DR.,DOROTHY,HAYES,31 SMITH PATH,FLAT 5,NORTH STEPHANIE,,AL2W 0GH,+44114 4960969,94 KEITH WAY,FLAT 90Q,VAUGHANMOUTH,WS57,+44(0)289018234,S3588150,0,Q74,G9021269,C82590,
45,P1000045,F,LYDIA,THOMPSON,NATALIE,1971-02-10,M,B,935 645 4744,DR.,JASMINE,SHAH,0 PARKIN STREAM,STUDIO 70W,NEW OLIVERMOUTH,,W3S 6BY,020 7946 0800,260 CAMERON RUE,FLAT 9,GARETHCHESTER,M1,0909 879 0842,S1279217,0,Q52,G6961616,C82425,
46,P1000046,F,DONNA,THOMAS,BARBARA,1963-11-16,S,A,311 259 7516,DR.,CATHERINE,MARSH,4 COLIN PORT,FLAT 85S,BENJAMINBURGH,,W2E 7HX,0191 4960420,2 WATSON ISLAND,FLAT 0,SLATERVILLE,S39,+44(0)1632960704,M8840003,0,Q33,G2219501,C82974,
47,P1000047,F,ASHLEIGH,GILL,DIANA,1992-07-03,M,B,719 992 8157,DR.,ANNETTE,WILSON,44 OWEN PINES,STUDIO 53,TAYLORFURT,,BR7 8JP,(020) 7496 0054,046 BETHAN EXTENSION,FLAT 7,CLARKCHESTER,S7,+44(0)9098790168,M7784823,0,Q64,G9424476,C82364,
48,P1000048,F,MARIA,SINGH,BETHANY,1952-01-21,M,A,876 966 0786,DR.,AMANDA,PARRY,695 BROWN SQUARES,STUDIO 5,LAKE TRACEY,,DA82 0RQ,028 9018064,"FLAT 54S
JUSTIN MANORS",STUDIO 24N,EAST ANNA,EH0,(0161) 496 0385,M9660611,0,Q52,G6234017,C82047,
49,P1000049,M,JACK,WATTS,RHYS,1961-08-24,C,B,248 990 4124,DR.,BRADLEY,JONES,64 WALLACE WALL,FLAT 59Q,WEST LINDAVIEW,,AB3W 2YF,03069990124,76 JACKSON RIDGE,FLAT 15Z,SOUTH PAULINEVIEW,N0,(0114)4960008,C9011761,0,Q23,G0640896,C82223,
50,P1000050,M,PETER,MATTHEWS,STUART,1988-09-08,M,B,963 381 0760,DR.,JOSH,BRYANT,5 JASON RIVER,STUDIO 38,WEST ELEANOR,,TS25 4JL,01164960046,"STUDIO 4
TONY PORT",STUDIO 76,ASHLEIGHLAND,SY0V,+44(0)808 1570887,S5372322,0,Q08,G0433339,C82406,
51,P1000051,M,ANTONY,NOBLE,MOHAMMED,1982-09-17,S,A,233 719 1818,DR.,DUNCAN,AHMED,"STUDIO 74
SMITH DAM",STUDIO 62A,SOUTH JASON,,CH1B 3BH,0151 4960630,2 MARIE TURNPIKE,STUDIO 3,LAKE DARREN,E4U,01414960069,C3677317,0,Q50,G6495013,C82246,
52,P1000052,F,CLARE,SMITH,JANE,1977-08-12,C,A,225 727 6124,DR.,BETHANY,JOHNSON,097 OLIVER VIA,STUDIO 6,LAKE GARETH,,RM5Y 6DN,0117 496 0373,55 GRAHAM SUMMIT,STUDIO 5,KARLTON,L1,(029) 2018 0954,M7873189,0,Q98,G4803227,C82422,
53,P1000053,F,JADE,SMITH,AMY,1961-06-06,M,A,670 763 3104,DR.,TRACEY,SCOTT,"FLAT 94V
KIM PLAZA",STUDIO 30,JANICEFURT,,CV3 3PS,(028) 9018 0902,"STUDIO 6
CAROLINE EXPRESSWAY",FLAT 15Q,SOUTH PAMELA,UB31,(0117) 4960615,S6645657,0,Q28,G4652896,C82952,
54,P1000054,F,HOLLIE,JACKSON,LUCY,1981-05-20,S,A,892 756 0930,DR.,LISA,STEVENS,2 TERRY ISLANDS,FLAT 60,PORT KATIEFURT,,BA6 5WB,+44(0)118 4960145,366 BAILEY KNOLLS,FLAT 8,TONYTOWN,EN8,01414960873,S3605558,0,Q07,G0619768,C82416,
55,P1000055,F,ANNE,BROWN,SALLY,1967-02-19,S,C1,536 461 6304,DR.,TRACEY,MASON,"FLAT 3
SMITH COMMON",STUDIO 68,NEW MARILYN,,E8K 9AX,0808 1570667,"FLAT 2
JAKE RIVER",STUDIO 4,LAKE TINALAND,DT3,+44306 999 0912,M5972464,0,Q06,G5587787,C82774,
56,P1000056,F,ASHLEIGH,BERRY,LAURA,1970-11-10,C,C1,897 234 1207,DR.,LISA,HOLMES,97 KENT FORKS,STUDIO 12J,PORT JORDANTOWN,,BT6 9RB,01174960065,"STUDIO 47
SHAW HEIGHTS",FLAT 7,KINGMOUTH,G2D,(0114)4960019,C9773093,0,Q95,G9045966,C82942,
57,P1000057,F,KATY,NICHOLLS,DIANA,1997-01-05,S,A,253 262 3861,DR.,CHRISTINE,EDWARDS,"STUDIO 38
CAROL COURT",STUDIO 75,EAST DENISE,,N7 3BT,(020) 74960194,61 SEAN ALLEY,STUDIO 1,NORTH BRIAN,M44,+44(0)1174960335,S5440937,0,Q70,G9682340,C82955,
58,P1000058,M,ADRIAN,SMITH,ALBERT,1987-08-15,M,C1,601 430 7044,DR.,MARTYN,PARKER,"FLAT 20G
WILSON FORD",FLAT 30A,DAVIDBURY,,WN44 9YL,028 9018 0302,39 LIAM DIVIDE,FLAT 1,ANGELABERG,N8F,(0151) 4960489,S6195082,0,Q35,G1517888,C82539,
59,P1000059,F,HAZEL,SCOTT,JENNA,1991-07-31,M,A,532 287 4747,DR.,SUZANNE,ROWLEY,5 ADAMS FERRY,STUDIO 19B,WEST ALEXANDRA,,S3 7XA,(0118) 496 0195,"FLAT 39P
PEARCE TRAIL",FLAT 27,MILLERMOUTH,NP18,01414960747,M5650975,0,Q78,G1709644,C82112,
60,P1000060,F,SUSAN,SMITH,ANNE,1981-05-15,M,B,403 720 7524,DR.,CARLY,JONES,1 MOHAMED POINT,FLAT 77,TONYHAVEN,,SY5 1QR,028 9018 0017,3 LYNCH VALLEY,STUDIO 92R,SMITHMOUTH,DT87,+441314960149,S1371597,0,Q57,G5870034,C82441,
61,P1000061,M,ALBERT,RHODES,CAMERON,1977-04-22,S,B,517 338 8986,DR.,MARTYN,DAVIES,"STUDIO 4
OWEN SHORES",FLAT 99,WEST CHARLENESHIRE,,LS8 3BN,+4420 7496 0990,786 LEWIS FALLS,STUDIO 03R,MASONTON,WC6M,+44161 496 0010,M3677596,0,Q84,G8852194,C82602,
62,P1000062,F,GILLIAN,HANCOCK,CAROLYN,1991-07-28,S,B,983 119 6872,DR.,LORRAINE,JACKSON,06 DENISE COURTS,STUDIO 5,EVANSBURY,,M6C 5LA,01134960241,"FLAT 52
WILLIAMS FALL",FLAT 5,NEW DANIELBURY,KW1Y,01144960464,S9161549,0,Q40,G7173303,C82311,
63,P1000063,M,REECE,PATEL,CRAIG,1966-10-13,S,A,911 473 2025,DR.,RYAN,KEMP,"FLAT 2
PAULINE FIELDS",STUDIO 04M,BARNETTVILLE,,G4U 7EN,(0117) 4960239,"FLAT 48R
STOKES PLAINS",STUDIO 86I,PARKESSTAD,W4J,0131 4960021,S5721285,0,Q67,G6794059,C82801,
64,P1000064,M,MARK,DAWSON,SHAUN,1960-04-12,M,C1,394 392 9817,DR.,MATHEW,WHITEHEAD,"FLAT 40F
SMITH LANDING",STUDIO 62B,HARRISONVIEW,,DY93 0QF,+441144960315,"STUDIO 62
TURNER LANDING",STUDIO 14X,OWENBURY,FK0E,+44141 4960630,M3924743,0,Q18,G6205550,C82950,
65,P1000065,M,GARETH,HOWE,PHILLIP,1991-03-14,S,C2,217 105 7475,DR.,NICHOLAS,ALI,234 GRIFFITHS SHOAL,FLAT 2,NORTH JILLVILLE,,CT3 3DA,(01632)960217,94 WILSON LANDING,STUDIO 0,EAST TOBYFURT,UB3,(0141) 496 0827,M5410090,0,Q54,G8826525,C82022,
66,P1000066,F,TINA,MORGAN,LUCY,1969-01-18,C,B,700 288 4115,DR.,DAWN,JONES,63 ANTONY SUMMIT,STUDIO 59U,GARYBOROUGH,,N13 4ZG,+4428 9018326,"FLAT 97R
SCOTT COMMON",STUDIO 28V,WEST SUSAN,HU5,0116 4960924,S6035791,0,Q80,G4870191,C82346,
67,P1000067,F,MICHELLE,BOYLE,NAOMI,1971-04-22,M,A,666 358 5673,DR.,VALERIE,MORRIS,2 HARDY FLATS,FLAT 16,COLLINSTON,,KY0 2SN,(0117)4960310,"FLAT 7
ROSS CAMP",STUDIO 54,WALTERSTOWN,E44,+44(0)1914960692,M1986654,0,Q76,G3132490,C82526,
68,P1000068,F,SUZANNE,WATKINS,LEANNE,1973-07-13,S,A,449 054 3468,DR.,ELAINE,FERGUSON,"STUDIO 20F
TAYLOR CANYON",STUDIO 09,MACDONALDLAND,,BR9A 4FR,01154960763,"FLAT 00E
JULIE BYPASS",STUDIO 6,LAKE JAMESTON,FK49,0909 8790087,S5674868,0,Q45,G1488939,C82543,
69,P1000069,F,ANGELA,PATEL,TERESA,1988-08-31,S,B,687 590 5442,DR.,JILL,HILL,"STUDIO 78
DICKINSON ORCHARD",STUDIO 7,NORTH KEITHTOWN,,S13 9JP,+441914960366,928 VINCENT MOUNTAIN,FLAT 57,NEW SHAUNCHESTER,SM45,02074960855,S6094442,0,Q34,G2554091,C82387,
70,P1000070,F,STACEY,EVANS,PAULINE,1984-03-09,S,A,614 498 7347,DR.,TRACEY,HILL,"FLAT 66
CHRISTIAN BROOK",FLAT 42O,ASHTONBOROUGH,,M5S 2UQ,+44117 4960854,6 FREEMAN INLET,FLAT 58N,BRADYVILLE,PE0H,+44115 4960351,S2974546,0,Q44,G2515658,C82829,
71,P1000071,F,ALISON,DUNCAN,LISA,1984-03-10,M,A,747 775 2310,DR.,BETHANY,LEE,14 CAROLYN ROAD,FLAT 86R,KNIGHTVIEW,,L7 6TF,+4420 7496 0556,"STUDIO 9
BARRETT CIRCLE",FLAT 41E,WEST OLIVIA,M1,+441632960216,S9791537,0,Q26,G4607435,C82335,
72,P1000072,F,LINDA,REES,DIANE,1981-01-19,S,C2,361 848 7037,DR.,LEAH,GARDNER,867 EVANS TRAIL,FLAT 0,NORTH PAMELABOROUGH,,DY28 1XN,+44(0)2074960377,"STUDIO 29
SMITH MILLS",STUDIO 81C,ROBERTSSIDE,W5D,+44(0)1174960952,M8637255,0,Q17,G5336989,C82969,
73,P1000073,M,HUGH,TAYLOR,EDWARD,1969-07-20,S,B,242 521 2647,DR.,KEITH,KENT,"STUDIO 91G
BILLY HILL",STUDIO 46T,NEW JENNIFER,,W9 2XJ,+44(0)29 2018007,447 KYLE TRAIL,FLAT 60,WAYNEFURT,PO8,(0118)4960016,M7431572,0,Q45,G5323051,C82804,
74,P1000074,M,DAVID,FRENCH,KENNETH,1973-08-06,S,B,275 166 9700,DR.,STEVEN,LEWIS,3 LEE MOTORWAY,FLAT 04Q,NORTH STANLEY,,N65 9ZG,+44(0)1154960772,42 BUTCHER SHOAL,FLAT 9,SOUTH ABDUL,EX1,+44(0)28 9018 0150,S9387413,0,Q13,G8037341,C82796,
75,P1000075,F,AMY,WALTON,SANDRA,1972-08-20,S,A,785 320 6259,DR.,JACQUELINE,CARR,5 LESLIE TRAIL,STUDIO 4,SOUTH ALLAN,,SG67 1ZJ,+44(0)1154960860,"STUDIO 38I
LAWRENCE SHOAL",STUDIO 39,ELAINEVIEW,HA88,01614960977,M5153592,0,Q43,G1016672,C82977,
