,main_pat_id,gender,first_name,last_name,middle_name,dob,marital_status,ethnicity,nhs_no,gp_title,gp_forename,gp_surname,gp_addr1,gp_addr2,gp_addr3,gp_addr4,gp_postcode,gp_workphone,pat_addr1,pat_addr2,pat_addr3,postcode,homephone,hospital_no,death_indicator,gp_local_code,gp_doh_code,gp_practicecode,date_of_death
10,P1000010,M,MITCHELL,ROBINSON,BEN,1993-05-31,S,C1,899 057 5257,DR.,CONNOR,GIBBS,212 LYNN PLAIN,FLAT 40J,EAST SHAUNFORT,,G5 7WA,+4429 2018 0952,01 ROBERTSON CREST,STUDIO 88K,MORGANMOUTH,TR06,(0141) 4960454,C6977459,0,Q92,G8655732,C82927,
11,P1000011,F,JASMINE,CLARKE,SANDRA,1985-12-03,S,C1,293 276 4993,DR.,KIMBERLEY,GOODWIN,"STUDIO 4
COLIN CROSSING",STUDIO 79Y,WEST LAUREN,,B22 6JY,+441632 960040,5 JOSEPHINE PORT,FLAT 68,NORTH ALEXANDERLAND,CB0,(028)9018409,S9321946,0,Q97,G7013781,C82582,
12,P1000012,F,MELISSA,LUCAS,JANE,1982-03-01,S,A,471 874 3419,DR.,BEVERLEY,EDWARDS,908 PAMELA MOUNTAIN,STUDIO 63,WEST NATALIE,,CF04 3ZG,+44(0)131 4960278,51 MILLER CLIFF,STUDIO 3,NEW HILARYVILLE,M6,+44(0)121 4960596,M8809110,0,Q90,G2060384,C82148,
13,P1000013,F,VALERIE,MCLEAN,ANDREA,1971-07-10,M,A,586 107 1675,DR.,KIRSTY,ASHTON,8 BARKER DAM,STUDIO 37M,WEST JOEL,,BL96 7SW,+441174960150,6 KENNEDY MILLS,FLAT 15N,SOUTH BILLYBURY,S89,+44114 4960476,M4487104,0,Q75,G1598135,C82840,
14,P1000014,F,TINA,DUNCAN,SAMANTHA,1966-01-05,S,B,294 796 4446,DR.,IRENE,BYRNE,50 BENNETT TUNNEL,FLAT 53T,SMITHTON,,YO2E 9WW,029 2018 0555,94 REBECCA HAVEN,STUDIO 8,LAKE TOBYHAVEN,BN99,+44(0)808 1570148,S3162406,0,Q72,G4843611,C82224,
15,P1000015,M,JOHN,CHAPMAN,HUGH,1987-03-03,S,A,867 577 1789,DR.,MOHAMED,PUGH,7 DOUGLAS GREEN,FLAT 63,TREVORSIDE,,BT7 0LT,+441632960288,"FLAT 2
PHILLIPS AVENUE",STUDIO 3,KATHLEENCHESTER,WD96,+44(0)116 4960088,M9503212,0,Q65,G0818940,C82932,
16,P1000016,F,MARION,GRIFFIN,JULIE,1974-04-13,S,B,177 899 9301,DR.,MANDY,MOSS,"FLAT 7
BURGESS TUNNEL",FLAT 73,SOUTH RONALD,,L8 3WW,+44808 157 0870,"STUDIO 04
WOOD KEY",FLAT 95,WEST PHILLIP,N8U,(0116) 496 0377,S1126855,0,Q86,G4061036,C82119,
17,P1000017,M,FRANK,JACKSON,ROY,1981-06-28,M,A,954 538 1876,DR.,TONY,MANN,57 PRICE VIA,FLAT 33B,DAVISFURT,,N6 4BQ,+44161 4960567,"STUDIO 57
TAYLOR COVES",FLAT 03G,LAKE VICTORIATOWN,LN39,(0909) 8790292,S3437533,0,Q82,G9023963,C82704,
18,P1000018,F,WENDY,WILLIAMS,RACHAEL,1961-06-02,S,A,636 964 1146,DR.,DANIELLE,KIRBY,245 TAYLOR PORTS,FLAT 09,NEW GORDONBURY,,N7 5ZD,+44289018065,81 BEGUM CENTERS,STUDIO 33,SOUTH SAMANTHA,SK46,+441614960198,S9904248,0,Q52,G4118565,C82139,
19,P1000019,F,MAUREEN,COLLINS,NICOLA,1962-04-04,S,A,864 285 3719,DR.,SALLY,PALMER,89 GEORGE DRIVES,FLAT 19L,EAST LAUREN,,L51 8NY,+44131 4960499,"STUDIO 40F
HARRIS STREAM",STUDIO 4,EAST RACHAEL,B63,(0909) 879 0250,M8946922,0,Q15,G8630559,C82062,
20,P1000020,F,HANNAH,WATKINS,CHARLENE,1967-03-28,M,A,410 274 2476,DR.,KIM,KING,84 PATEL STREETS,STUDIO 41,LAKE JUNEMOUTH,,WA8W 9YF,0113 4960887,"FLAT 88E
DANIEL LOCK",FLAT 24,REIDFORT,B6B,0115 496 0453,C7539418,0,Q56,G1029225,C82326,
21,P1000021,F,VALERIE,JONES,HARRIET,1988-02-16,M,A,404 968 9324,DR.,PAULA,HURST,47 WILLIS CROSSING,STUDIO 6,WEST REBECCATON,,DL97 2FL,(028) 9018 0116,52 DARREN LODGE,STUDIO 18,MORTONVIEW,HA75,0161 496 0306,S9805532,0,Q83,G9698483,C82478,
22,P1000022,F,ALICE,CLAYTON,JANE,1990-01-19,S,A,283 442 1560,DR.,MARIE,BLACK,389 JACKSON GLENS,FLAT 8,BEVERLEYTOWN,,LL2X 2AB,+44(0)1134960638,"STUDIO 74
FRANCIS RIDGE",FLAT 42I,BROWNVILLE,L5B,(0131) 496 0944,S2550706,0,Q27,G2606690,C82808,
23,P1000023,M,DAMIEN,WILLIAMS,ARTHUR,1989-11-11,S,C2,287 210 1438,DR.,STEWART,LANE,"FLAT 1
LONG PLAINS",STUDIO 85S,LAKE SEANBURY,,E1C 1QG,+4428 9018855,703 RICHARDSON ROUTE,FLAT 99,LAKE ANTHONYHAVEN,B5D,+44(0)131 4960651,M3948623,0,Q11,G7882050,C82984,
24,P1000024,F,LEAH,CLARK,NICOLE,2005-03-22,S,A,893 973 1158,DR.,FRANCESCA,WARD,964 GIBBS FALL,FLAT 93O,WEST HARRIET,,N31 7SF,(0191) 496 0402,69 BARKER MEWS,FLAT 2,EMILYMOUTH,EH08,0808 1570226,S1124682,0,Q51,G6682589,C82919,
25,P1000025,F,DIANE,O'SULLIVAN,HELEN,1978-08-09,C,A,412 407 3356,DR.,SARAH,BATES,81 SAM SQUARE,STUDIO 4,PHILLIPSHIRE,,G5 3TG,+441632 960769,"FLAT 7
LYNCH SUMMIT",FLAT 66,LAKE CAROLINEBOROUGH,W91,(0118) 496 0896,C8565148,1,Q13,G4496990,C82339,2000-05-11
26,P1000026,F,CAROL,PORTER,HAZEL,1985-02-13,M,A,160 458 5579,DR.,BRENDA,KELLY,"FLAT 14
HEWITT PORTS",FLAT 2,PORT DONALD,,N66 5WW,020 74960551,"STUDIO 49B
JAMIE ISLANDS",FLAT 36U,MCLEANSHIRE,SO8W,(0306) 999 0662,S8398393,0,Q66,G3999991,C82095,
27,P1000027,M,CONNOR,JOHNSON,MARTIN,1978-07-07,S,A,913 507 2377,DR.,NORMAN,YATES,"FLAT 56
HANNAH NECK",STUDIO 9,SOUTH ALEXANDER,,DE1 3TF,0121 4960549,596 PEARSON RANCH,FLAT 67L,EMMABURY,M31,0118 496 0704,S6114951,0,Q59,G3268017,C82920,
28,P1000028,M,FRANCIS,PATEL,JUSTIN,1978-10-09,S,C1,426 428 8754,DR.,ADAM,GIBBONS,"FLAT 0
PETERS FERRY",FLAT 03,MATTHEWVILLE,,L8 8LE,(0113) 496 0885,"STUDIO 73
PATEL NECK",STUDIO 67J,BENNETTLAND,SM59,01632 960 777,S3529971,0,Q24,G5805502,C82980,
29,P1000029,M,CHARLIE,CLEMENTS,BENJAMIN,1960-07-07,S,C2,169 048 3628,DR.,DOUGLAS,WEBB,4 HEATHER MILL,STUDIO 33,WEST JAMIETOWN,,W4 9JD,+44(0)113 4960876,"STUDIO 3
MASON TUNNEL",FLAT 98B,NEW EDWARDSTAD,WA01,+44191 4960235,S2519688,0,Q62,G4030191,C82900,
30,P1000030,M,TIMOTHY,BRADSHAW,FRANCIS,1986-03-04,C,C1,307 595 8301,DR.,ANTONY,ROBINSON,"FLAT 16
AMY THROUGHWAY",FLAT 20G,EAST RONALD,,G2A 3JA,+44(0)121 4960723,3 MITCHELL ESTATES,STUDIO 61,LAKE MATHEW,B2,03069990733,M5213530,0,Q95,G3764197,C82995,
31,P1000031,F,JANET,SMITH,LEANNE,1973-10-01,S,A,590 758 8373,DR.,HEATHER,PARKER,"FLAT 0
HAYES CREEK",STUDIO 3,MEGANLAND,,IM2B 6JN,0131 496 0461,84 ANTHONY POINT,STUDIO 95I,NORTH DAWNSHIRE,W6,(0115) 4960354,M4866761,0,Q19,G7111828,C82283,
32,P1000032,F,LYNN,MAHMOOD,LAUREN,1985-10-15,S,A,614 245 4384,DR.,SUZANNE,REEVES,"FLAT 02
JUNE UNION",STUDIO 35P,NORTH VINCENT,,E9A 9WS,+44292018091,741 GRACE FERRY,STUDIO 50,TAYLORCHESTER,N19,0113 4960995,M7589981,0,Q12,G5199794,C82739,
33,P1000033,F,TERESA,FISHER,JANE,1976-08-30,S,A,858 058 7395,DR.,SOPHIE,COOPER,"FLAT 88Y
MITCHELL RUE",STUDIO 97,AMELIAFORT,,ST21 1XH,01174960756,635 JENNIFER SPURS,STUDIO 3,GILLSTAD,LN06,(028)9018516,S5337374,0,Q22,G5741797,C82046,
34,P1000034,F,JENNA,BAILEY,SALLY,1973-03-13,S,B,654 363 6963,DR.,DEBRA,STEVENS,"FLAT 8
JANE MOUNTAIN",FLAT 6,WILSONCHESTER,,E3 3UX,+44(0)118 496 0963,78 TAYLOR UNIONS,STUDIO 22K,MORRISSTAD,OL8,0191 498 0156,S7060055,0,Q70,G4530979,C82032,
35,P1000035,M,ALEXANDER,REID,REECE,2000-05-19,M,B,714 075 5337,DR.,LEE,JONES,"FLAT 1
MARCUS DRIVES",STUDIO 5,PORT HARRIETHAVEN,,M61 9HW,+44121 4960486,"FLAT 31
DAVIES PATH",FLAT 3,LUKEPORT,B4,+441632 960449,M4485118,0,Q37,G2573662,C82218,
36,P1000036,F,DIANE,O'SULLIVAN,FIONA,1964-02-23,M,A,483 939 0371,DR.,AMY,JAMES,31 NATASHA CIRCLES,STUDIO 34V,PORT LEON,,IP56 9ES,0191 498 0173,4 LAMBERT SPURS,STUDIO 90L,NORTH LYNN,L5S,+44(0)292018719,M9075061,0,Q79,G0306599,C82540,
37,P1000037,F,ANNA,BEGUM,NAOMI,1971-08-23,M,A,973 952 9623,DR.,JOYCE,CLARK,"STUDIO 98I
SUSAN TRAIL",FLAT 1,LAKE CAMERONSIDE,,M0W 6QX,+441144960718,8 RANDALL VALLEY,STUDIO 22X,NEW MARCUSHAVEN,L5H,(0151) 496 0111,M2341036,0,Q49,G6405431,C82183,
38,P1000038,M,DAMIAN,CAREY,GEOFFREY,1994-11-09,S,C2,734 025 8310,DR.,NORMAN,LEE,"STUDIO 20R
BAKER MANOR",STUDIO 20F,WEST LUCY,,TA65 9JH,01144960838,"FLAT 51
MANNING MANOR",FLAT 42R,WRIGHTTOWN,IP3,+44121 4960111,S8218050,0,Q88,G3195068,C82089,
39,P1000039,F,KIMBERLEY,HOWELL,JODIE,1994-09-02,C,A,768 632 5822,DR.,MARIA,TAYLOR,82 WALKER PASS,FLAT 0,NEWMANTOWN,,HX9 0QZ,+44(0)9098790737,8 GEMMA VILLAGE,STUDIO 3,PARSONSSTAD,E06,+44161 4960904,C2631639,0,Q24,G0990606,C82733,
40,P1000040,F,ANNETTE,WILSON,SHANNON,2005-04-02,S,A,635 672 5443,DR.,BETHAN,SINGH,"STUDIO 80L
SUTTON GATEWAY",FLAT 0,EAST MARGARETVIEW,,BH86 3ZS,+44121 4960141,314 TAYLOR PORTS,STUDIO 05,GAVINBURGH,FY2,01164960413,M8767854,0,Q57,G3599926,C82359,
41,P1000041,F,LYNDA,GILL,ZOE,1966-08-05,S,A,288 865 0444,DR.,CAROLINE,HUMPHRIES,"STUDIO 97W
ANDREA HARBORS",STUDIO 7,HILTONSTAD,,N72 1DY,(0909) 879 0046,886 FIONA LIGHTS,STUDIO 98D,SOUTH GEORGINATOWN,G7U,+44131 496 0130,S2825634,0,Q55,G6233329,C82499,
42,P1000042,M,HARRY,HILL,MARTIN,2000-12-08,S,B,369 768 3799,DR.,NEIL,MISTRY,"FLAT 27
FRANCES CRESCENT",FLAT 88B,EAST JONATHAN,,E8K 2HB,(0115) 496 0434,566 KING MOUNTAINS,FLAT 3,PORT JOANNAFURT,G51,03069990188,S1380537,0,Q11,G5356589,C82543,
43,P1000043,F,IRENE,JENNINGS,MELISSA,1967-12-18,S,A,204 443 8879,DR.,KIRSTY,WEBB,00 CLAIRE LODGE,STUDIO 38Z,DAVIESBURGH,,SG4 1LL,0151 496 0189,"STUDIO 29S
CHERYL CLIFF",FLAT 6,ROSEFURT,CR2X,0306 999 0072,M8995619,0,Q55,G7879183,C82708,
44,P1000044,M,MICHAEL,CARTER,JACK,1973-12-23,M,A,960 311 8354,DR.,WILLIAM,WHITE,3 PAUL ESTATE,STUDIO 1,AMANDAVILLE,,HX88 2PZ,01144960732,"FLAT 8
JOAN DIVIDE",FLAT 71F,LOUISEVILLE,N6J,0117 4960661,C3899306,0,Q42,G8000426,C82777,
45,P1000045,F,KATHRYN,JONES,CHLOE,1979-03-31,S,C1,785 057 9240,DR.,KIMBERLEY,CONNOLLY,"FLAT 28
CHELSEA STREET",STUDIO 37M,LAKE JAYNEHAVEN,,CB10 3YX,+44(0)118 496 0402,4 JORDAN MOUNTAIN,FLAT 9,CLARKBURY,E07,(0131) 496 0745,M1936802,0,Q75,G0768242,C82814,
46,P1000046,F,SOPHIE,SHAW,ASHLEIGH,1971-09-15,M,B,301 883 6782,DR.,KATE,POTTER,19 MATTHEWS RUE,STUDIO 6,NORTH LINDSEY,,TD4N 4HF,+44(0)292018377,"FLAT 6
WATSON FREEWAY",STUDIO 3,JONESTON,SW47,(0114) 4960871,M6826845,0,Q60,G1620421,C82124,
47,P1000047,F,KATY,CLARK,HAYLEY,1964-03-16,S,B,180 675 1550,DR.,SANDRA,GRAY,39 WELLS ESTATE,FLAT 76Z,PORT TONYSHIRE,,LE4 1BF,(028) 9018142,"FLAT 5
MISTRY WALL",FLAT 42Q,NORTH GRACE,N5J,(0118)4960707,S4472759,0,Q64,G5551058,C82250,
48,P1000048,F,SARA,BAILEY,VANESSA,1948-02-20,M,B,795 570 0171,DR.,JENNIFER,LOWE,20 HERBERT REST,STUDIO 44,WEST HELENVILLE,,SO79 0UX,0808 157 0582,68 BILLY MOTORWAY,FLAT 0,TOMBOROUGH,B4,+44161 4960372,M5741016,0,Q56,G0761764,C82646,
49,P1000049,F,FRANCESCA,BAKER,CARLY,1968-02-08,C,B,525 076 4487,DR.,JANICE,WINTER,4 AARON LAKE,FLAT 6,NORTH LYDIA,,M4 6TH,0909 879 0145,6 SMART TRAIL,FLAT 1,LAKE ANNE,B4,+44117 4960066,M6746574,0,Q43,G7241387,C82979,
50,P1000050,M,BRETT,SMITH,DUNCAN,1999-11-23,M,C2,462 677 4776,DR.,RAYMOND,ALEXANDER,"STUDIO 38
BROWN PRAIRIE",STUDIO 87,PORT SHANNON,,UB3 5SS,(0121) 4960981,"STUDIO 0
RITA MILLS",STUDIO 38J,LAKE GRACEBERG,E3,(0116)4960466,M1447466,0,Q12,G9214275,C82941,
51,P1000051,M,JOEL,COOK,ROBIN,1968-11-10,S,C1,503 416 2849,DR.,HOWARD,BLACK,"FLAT 1
KENNETH PLACE",STUDIO 00,OWENVIEW,,CH0V 3UH,0118 4960834,"FLAT 45D
BRYAN RAPID",STUDIO 79P,LAKE MAURICECHESTER,L3,0808 157 0276,S5697595,0,Q34,G7944409,C82456,
52,P1000052,F,GERALDINE,STOREY,KATIE,1969-04-15,S,A,978 877 5268,DR.,MAUREEN,HARRISON,14 DENIS JUNCTION,FLAT 05D,PORT CHLOEFURT,,CR2N 4XZ,+4420 74960602,"FLAT 12F
PATRICIA COVES",FLAT 53,BENJAMINSTAD,E88,+44141 496 0334,S3360336,0,Q30,G1329273,C82220,
53,P1000053,M,STEWART,BUTLER,DAMIEN,1996-07-01,S,C2,900 205 8187,DR.,ELLIOT,SMITH,"STUDIO 9
BRETT JUNCTION",STUDIO 46,EAST ZOEMOUTH,,B9F 5GT,020 74960065,"STUDIO 7
JEREMY VIEW",STUDIO 81,SOUTH CAROLYNHAVEN,B00,(0909)8790166,S7757414,0,Q96,G2519636,C82336,
54,P1000054,M,NEIL,DAVIES,DECLAN,1986-12-18,C,A,239 225 9119,DR.,HARRY,YOUNG,"FLAT 99Z
ALICE DAM",FLAT 05K,WALLMOUTH,,KW0R 6XL,0141 496 0560,614 HARDING KEYS,STUDIO 14I,EAST ANTONYBOROUGH,AL6N,0114 496 0440,S5394798,0,Q67,G3211508,C82426,
55,P1000055,F,STEPHANIE,KELLY,WENDY,1981-10-04,S,B,294 633 9238,DR.,ROSEMARY,MILLS,077 TERESA SQUARES,FLAT 78,SOUTH MAURICETOWN,,HU63 8SY,+441414960043,"STUDIO 3
MORGAN PASSAGE",FLAT 21,WEST JANETHAVEN,DD1M,(0151) 4960670,S7199863,0,Q61,G8681527,C82302,
56,P1000056,M,DENNIS,GEORGE,ALEXANDER,1988-10-13,S,B,771 015 3216,DR.,ROBIN,MURPHY,4 SAM KNOLLS,FLAT 45S,MOSSBURGH,,S44 6LT,+44121 496 0071,"STUDIO 86
LEWIS TURNPIKE",FLAT 99,KIRKPORT,SM2,+44161 4960372,C5805294,0,Q85,G6602627,C82250,
57,P1000057,F,JANICE,WALKER,GEORGIA,1966-04-23,S,C1,393 637 4651,DR.,MARY,TAYLOR,"FLAT 4
PAYNE FREEWAY",STUDIO 2,NORTH DANIELLE,,BT2 1LY,+44121 4960935,"STUDIO 9
GUY PRAIRIE",STUDIO 6,WEST DENIS,MK4,+44114 4960494,M8742479,1,Q21,G7065492,C82638,2006-04-27
58,P1000058,F,AIMEE,DAY,LOUISE,1988-09-10,M,A,542 987 6941,DR.,SARAH,HALE,29 FERGUSON PARKS,FLAT 49M,LAKE HOLLYHAVEN,,AB9 8UX,+44(0)2074960127,"STUDIO 0
EMMA FLATS",FLAT 9,NEW REECEHAVEN,WD14,(01632) 960981,S7365370,0,Q71,G6190707,C82244,
59,P1000059,F,JASMINE,NASH,DIANA,1961-11-13,M,A,788 312 5818,DR.,PATRICIA,FISHER,"STUDIO 07
WILLIAM SHORES",FLAT 9,SOUTH MARC,,M7A 9NQ,(0114) 496 0777,338 HALL CLIFF,STUDIO 9,NEW MARCPORT,N50,01164960729,C6560520,0,Q78,G4112814,C82791,
60,P1000060,M,AARON,WILSON,ANTHONY,1981-01-20,M,A,541 150 4716,DR.,DARREN,HOLLOWAY,37 MARIA CROSSING,FLAT 88,EMILYSIDE,,B19 6EG,029 2018561,"FLAT 7
BROWN PINE",STUDIO 9,PORT ELIZABETHBERG,E25,+44(0)1414960271,M8621973,0,Q95,G1595189,C82260,
61,P1000061,F,RACHEL,HILL,SALLY,1991-05-08,C,B,739 026 9936,DR.,JEAN,HAYWARD,"FLAT 9
COLEMAN OVAL",STUDIO 98E,CARPENTERTON,,WC4 6AA,(0117) 4960211,"STUDIO 5
DOROTHY PLACE",STUDIO 84,CHERYLFURT,M3A,+441144960608,S1441808,0,Q07,G2928330,C82033,
62,P1000062,F,LISA,BLACKBURN,FIONA,1977-04-09,S,A,397 939 3364,DR.,KATY,LEE,"STUDIO 05U
LOUIS MANORS",STUDIO 06,SCOTTSTAD,,M4 3YR,08081570308,"STUDIO 0
ZOE POINT",STUDIO 7,ELLIOTTVIEW,W55,0114 496 0206,S5623810,0,Q09,G3944599,C82336,
63,P1000063,M,NATHAN,GIBBS,BEN,1983-08-20,M,B,582 773 8700,DR.,ELLIOT,JONES,"FLAT 94F
MANN CORNERS",STUDIO 45,SOUTH GRACE,,TW75 1ED,03069990574,2 BROOKS LODGE,STUDIO 8,NORMANFORT,WR2,029 2018410,S9308102,0,Q42,G5367777,C82369,
64,P1000064,F,LAUREN,ROBINSON,JOANNE,1994-11-06,M,B,314 861 3538,DR.,CHRISTINE,TODD,"FLAT 57
STANLEY CREEK",FLAT 12,KIMFURT,,S21 1ZJ,(0114) 4960823,1 JOANNA SQUARES,STUDIO 6,PORT SHEILAMOUTH,TS8B,+44(0)1614960769,C1451299,0,Q84,G4341977,C82249,
65,P1000065,F,KATHERINE,NELSON,ANNE,1986-10-02,S,B,738 600 6020,DR.,MARIE,ROSE,"FLAT 71
COOK CLUB",FLAT 78Q,EAST LOUISESIDE,,L86 2ZD,+44(0)117 4960060,"STUDIO 60P
CHARLES VISTA",FLAT 00,ELAINETON,ME7V,0909 879 0769,M4609980,0,Q95,G6778055,C82286,
66,P1000066,F,CHRISTINE,WATTS,DEBORAH,1978-10-30,C,A,323 549 3646,DR.,BRENDA,BROWN,89 HOWARD JUNCTIONS,FLAT 72,WEST FRANK,,SW12 1HY,(0115)4960063,61 CARR PARKWAY,FLAT 8,SHAHMOUTH,HD2P,+44289018803,S7470227,0,Q59,G6843854,C82605,
67,P1000067,F,VICTORIA,GREEN,JENNIFER,1999-04-26,M,B,550 062 2056,DR.,RACHAEL,TAYLOR,"FLAT 91N
JONES MOUNTAINS",FLAT 40X,EAST DANIELLE,,HU13 0LA,+44(0)1414960899,"STUDIO 25T
PERKINS LIGHT",STUDIO 35E,GODDARDSTAD,B0,+441632 960718,C1594212,0,Q69,G3442130,C82364,
68,P1000068,F,VALERIE,LEWIS,JOAN,1981-03-04,C,A,785 454 2287,DR.,HOLLY,SHAW,"STUDIO 14J
WARD PASS",FLAT 08,WRIGHTSTAD,,WD2 2TX,029 2018 0830,96 SIMON HARBOR,FLAT 46,BEVANBERG,LL1,+44(0)115 4960512,S9305209,0,Q22,G2327982,C82446,
69,P1000069,F,MARILYN,BYRNE,DIANE,1957-10-21,M,B,629 310 2940,DR.,HANNAH,HUTCHINSON,204 MILLS SHORES,FLAT 2,BEVERLEYLAND,,M5 8HL,(029)2018480,4 HOWARD TUNNEL,FLAT 12,WEST DOROTHYBURGH,W9,+44909 8790073,C2453442,0,Q87,G1123293,C82647,
70,P1000070,M,BERNARD,KELLY,CAMERON,1983-01-19,S,B,586 873 7148,DR.,ALLAN,COOPER,46 ANTHONY SQUARES,STUDIO 51,GLENNFORT,,HR22 5ZG,+441632 960 101,"FLAT 85
AUSTIN DAM",FLAT 46,FRANKLINPORT,W0,+441154960860,S2817781,0,Q04,G3771607,C82918,
71,P1000071,F,FRANCESCA,CHAPMAN,SIAN,1989-09-22,M,C2,114 136 9974,DR.,JEMMA,OLIVER,"STUDIO 73D
WILKINS FIELDS",FLAT 0,NORTH JAYNEVILLE,,SG6 8FB,+4428 9018122,"FLAT 03
HUGH VILLAGES",STUDIO 83B,SOUTH ALISONSTAD,W0U,0114 4960527,S4993969,0,Q73,G1136899,C82636,
72,P1000072,F,TERESA,ABBOTT,HAZEL,1993-10-28,S,A,123 233 1317,DR.,ALICE,JACKSON,06 VANESSA STREET,FLAT 2,EAST IAINBOROUGH,,GL5 5AN,+44(0)116 496 0857,33 TAYLOR INLET,STUDIO 07,O'BRIENHAVEN,B97,(0118) 4960156,S9134436,0,Q63,G6554367,C82081,
73,P1000073,F,ANNA,RICHARDSON,RACHEL,1978-03-13,M,A,524 350 3134,DR.,DOROTHY,HEATH,"FLAT 05W
CAMERON FLATS",STUDIO 44,HUTCHINSONSHIRE,,G6G 9NA,(0121) 4960527,83 CAROLE BYPASS,STUDIO 8,BETHANYLAND,M95,+44191 4960241,C7099814,0,Q88,G2631098,C82314,
74,P1000074,F,MARIAN,YATES,GILLIAN,1970-07-26,M,C2,709 451 5596,DR.,CARLY,WILLIAMSON,9 AKHTAR COURSE,FLAT 41,EAST KARLVIEW,,G80 6DU,+44(0)116 4960520,"FLAT 9
KEITH WALL",STUDIO 35,SOUTH SHANE,KA3,+44(0)1174960813,S7186604,0,Q15,G9608582,C82548,
